desc,number,voltage,source,srcBreak,srcName,mounting,siteNo,siteName,_predicate,geometry,latlon,lon,lat,size
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (356206.539 176196.832),"(-2.6320629534240427, 51.48301175488542)",-2.6320629534240427,51.48301175488542,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (356202.265 176199.343),"(-2.632120926192601, 51.48303841713966)",-2.632120926192601,51.48303841713966,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (357829.18 168616.886),"(-2.60778585331896, 51.41498339086151)",-2.60778585331896,51.41498339086151,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (357830.71400000004 168611.557),"(-2.6077708783130507, 51.41493851000813)",-2.6077708783130507,51.41493851000813,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (358189.911 175613.506),"(-2.6034385701030724, 51.47792048791059)",-2.6034385701030724,51.47792048791059,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (358185.956 175629.241),"(-2.6034980630326103, 51.47806404738684)",-2.6034980630326103,51.47806404738684,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (358169.857 175705.095),"(-2.603737463626996, 51.47874617690153)",-2.603737463626996,51.47874617690153,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (358171.962 175687.22400000002),"(-2.6037065287601107, 51.47858448727235)",-2.6037065287601107,51.47858448727235,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113277,AVONMOUTH DOCKS 33KV/6.6KV S/STN,INTERSECTS,POINT (351439.913 178557.83800000002),"(-2.701032276602251, 51.50384884129223)",-2.701032276602251,51.50384884129223,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113277,AVONMOUTH DOCKS 33KV/6.6KV S/STN,INTERSECTS,POINT (351442.559 178562.135),"(-2.7009897477586438, 51.50389405359797)",-2.7009897477586438,51.50389405359797,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113277,AVONMOUTH DOCKS 33KV/6.6KV S/STN,INTERSECTS,POINT (351444.695 178566.09),"(-2.7009614871487693, 51.50393018898232)",-2.7009614871487693,51.50393018898232,10
